Text Path,True Label,Predicted Label,Snippet
./split_dataset/test/flood/texts/naturaldisaster_2017-10-16_16-48-35.txt,flood,damaged_infrastructure,"Much of Puerto Rico is still without power, water, phones, and internet several weeks after a major hurricane slammed into the island. DONATE at TIDAL.com/PuertoRico to give direct help to those in ne"
./split_dataset/test/flood/texts/floodwater_2017-05-30_21-27-36.txt,flood,flood,@Regrann from @the_auburn_wanderer -  #path #underwater #shadows #reflection #riverouse #floodwater #peaked #autumn #winter #flood #riverbank #walk #york #yorkshire #vsco #vscolove #vscocam #picofthed
./split_dataset/test/flood/texts/accrafloods_2016-06-09_15-40-55.txt,flood,flood,#Accrafloods
./split_dataset/test/flood/texts/floodwater_2017-09-12_16-52-33.txt,flood,flood,Flood water in Marikina River rose at 15m due to non-stop rain caused by Typhoon Maring.  Video recorded  2pm today.  Reminding all Marikeños to stay vigilant and ready if there's a need to go higher 
./split_dataset/test/flood/texts/floodwater_2017-08-28_01-02-40.txt,flood,flood,"Devastating... Prayers for Texas >>>>>>>>>>>>>>>>>>> #Repost @abcnews (@get_repost)
・・・
Aerial footage taken by the Coast Guard during search and rescue operations shows the severe flooding across Tex"
./split_dataset/test/non_damage/texts/building_2017-10-30_17-13-21.txt,non_damage,non_damage,Retrò. .  #architecture #architecturelovers #architecturephotography #archidaily #architexture #minimalarchitecture #design  #50s #autumn #building #architettura #instagood #instagram #instadaily #ins
./split_dataset/test/non_damage/texts/ad_2017-11-25_05-21-37.txt,non_damage,non_damage,"‼️STILL AVAILABLE ‼️ 😱👀🙌🏾 50% OFF!!!!
Head over to 👉🏾 @thecrulook to purchase. LINK IN BIO!!!👗👠👜🛍
.
.
.
.
.
.
.
.
.
#TheCRULook #fashion #ootd #style #fashiongram #vintage #fashionblogger #fashionstyl"
./split_dataset/test/non_damage/texts/building_2017-10-30_17-00-00.txt,non_damage,non_damage,"I love love love this building, inside out. A gem. 💛
#architecture #style #helsinki #architectureporn #adore #love #building #university #universityofhelsinki #campus metsätalo #visithelsinki #myhelsi"
./split_dataset/test/non_damage/texts/ad_2017-11-25_03-24-00.txt,non_damage,non_damage,@solarbat #solarbatsunglasses #sunglasses #fishingsunglasses #ad #prostaffer #fishing #savemoney #sale #buyonline #avoidthelines #value #gifts #holidaysale #freeshippinginusa #usemycode #followmeonfac
./split_dataset/test/non_damage/texts/food_2017-11-23_23-11-21.txt,non_damage,non_damage,📱👧🏼
./split_dataset/test/damaged_infrastructure/texts/destruction_2017-10-29_08-44-30.txt,damaged_infrastructure,damaged_infrastructure,"#aleppo #syria #warphotography #streetphotography #war #peace #destruction #buldings #hospital #school #ambulance #girl #nikond7200 #hmb
End of the war!"
./split_dataset/test/damaged_infrastructure/texts/earthquake_2017-11-13_21-12-31.txt,damaged_infrastructure,damaged_infrastructure,"(Nov/13/2017)
Trabajadores de rescate caminan a través de los escombros de los edificios destruidos en la provincia de #Kermanshah, #Irán, después de que un terremoto de 7,3 grados de magnitud sacudie"
./split_dataset/test/damaged_infrastructure/texts/wreckedcar_2017-03-15_19-50-22.txt,damaged_infrastructure,damaged_infrastructure,#nissan #nissanaltima #wrecked #wreckedit #wreckedcar #wreckedauto #crash #carcrash #crashed #crashes #accident #accidental #oops #ohfudge #crashedit #impact #crushed #smashed #totaled #totaledit #tot
./split_dataset/test/damaged_infrastructure/texts/buildingcollapse_2015-10-30_04-32-40.txt,damaged_infrastructure,damaged_infrastructure,Biking down the alley....I don't think there's anything too new about this one. Me thinks maybe 2nd floor collapsed but I haven't looked at my previous pic. Looks like it had the back pulled out maybe
